date,state,,cases,deaths
4/9/2020,Rhode Island,,1727,43
4/9/2020,Vermont,,628,23
4/9/2020,Wyoming,,303,0
4/10/2020,Alabama,,3008,80
4/10/2020,Massachusetts,,20974,599
4/10/2020,Mississippi,,2469,82
4/10/2020,Rhode Island,,2015,49
4/10/2020,Vermont,,679,24
4/10/2020,Wyoming,,320,0
4/11/2020,Alabama,,3262,93
4/11/2020,Massachusetts,,22860,686
4/11/2020,Mississippi,,2642,93
4/11/2020,Rhode Island,,2349,56
4/11/2020,Vermont,,711,24
4/11/2020,Wyoming,,343,0
4/12/2020,Alabama,,3583,93
4/12/2020,Massachusetts,,25475,756
4/12/2020,Mississippi,,2781,96
4/12/2020,Rhode Island,,2665,63
4/12/2020,Vermont,,727,26
4/12/2020,Wyoming,,364,0
4/13/2020,Alabama,,3805,104
4/13/2020,Massachusetts,,26867,844
4/13/2020,Mississippi,,2942,98
4/13/2020,Rhode Island,,2976,73
4/13/2020,Vermont,,748,27
4/13/2020,Wyoming,,373,1
4/14/2020,Alabama,,3953,114
4/14/2020,Massachusetts,,28163,957
4/14/2020,Mississippi,,3087,111
4/14/2020,Rhode Island,,3251,80
4/14/2020,Vermont,,752,28
4/14/2020,Wyoming,,373,1
4/15/2020,Alabama,,4241,123
4/15/2020,Massachusetts,,29918,1108
4/15/2020,Mississippi,,3360,122
4/15/2020,Rhode Island,,3529,87
4/15/2020,Vermont,,759,29
4/15/2020,Wyoming,,392,2
4/16/2020,Alabama,,4404,137
4/16/2020,Massachusetts,,32181,1245
4/16/2020,Mississippi,,3624,129
4/16/2020,Rhode Island,,3838,105
4/16/2020,Vermont,,768,34
4/16/2020,Wyoming,,393,2
4/17/2020,Alabama,,4572,151
4/17/2020,Massachusetts,,34402,1404
4/17/2020,Mississippi,,3793,140
4/17/2020,Rhode Island,,4177,118
4/17/2020,Vermont,,779,34
4/17/2020,Wyoming,,401,2
4/18/2020,Alabama,,4723,147
4/18/2020,Massachusetts,,36372,1560
4/18/2020,Mississippi,,3974,152
4/18/2020,Rhode Island,,4491,137
4/18/2020,Vermont,,803,36
4/18/2020,Wyoming,,412,2
4/19/2020,Alabama,,4903,160
4/19/2020,Massachusetts,,38077,1706
4/19/2020,Mississippi,,4274,159
4/19/2020,Rhode Island,,4706,150
4/19/2020,Vermont,,812,36
4/19/2020,Wyoming,,422,2
4/20/2020,Alabama,,5078,164
4/20/2020,Massachusetts,,39643,1809
4/20/2020,Mississippi,,4512,169
4/20/2020,Rhode Island,,5090,155
4/20/2020,Vermont,,816,37
4/20/2020,Wyoming,,426,2
4/21/2020,Alabama,,5327,186
4/21/2020,Massachusetts,,41199,1961
4/21/2020,Mississippi,,4716,183
4/21/2020,Rhode Island,,5500,171
4/21/2020,Vermont,,818,39
4/21/2020,Wyoming,,442,6
4/22/2020,Alabama,,5610,201
4/22/2020,Massachusetts,,42944,2182
4/22/2020,Mississippi,,4894,193
4/22/2020,Rhode Island,,5841,181
4/22/2020,Vermont,,823,39
4/22/2020,Wyoming,,447,6
4/23/2020,Alabama,,5832,197
4/23/2020,Massachusetts,,46023,2360
4/23/2020,Mississippi,,5153,201
4/23/2020,Rhode Island,,6256,189
4/23/2020,Vermont,,825,42
4/23/2020,Wyoming,,453,7
4/24/2020,Alabama,,6026,209
4/24/2020,Massachusetts,,50969,2556
4/24/2020,Mississippi,,5434,209
4/24/2020,Rhode Island,,6699,202
4/24/2020,Vermont,,827,43
4/24/2020,Wyoming,,473,7
4/25/2020,Alabama,,6213,213
4/25/2020,Massachusetts,,53348,2730
4/25/2020,Mississippi,,5718,221
4/25/2020,Rhode Island,,7129,215
4/25/2020,Vermont,,843,45
4/25/2020,Wyoming,,477,7
4/26/2020,Alabama,,6421,219
4/26/2020,Massachusetts,,54938,2899
4/26/2020,Mississippi,,5911,227
4/26/2020,Rhode Island,,7439,226
4/26/2020,Vermont,,851,45
4/26/2020,Wyoming,,502,7
4/27/2020,Alabama,,6539,228
4/27/2020,Massachusetts,,56462,3003
4/27/2020,Mississippi,,6094,229
4/27/2020,Rhode Island,,7708,233
4/27/2020,Vermont,,855,46
4/27/2020,Wyoming,,520,7
4/28/2020,Alabama,,6750,242
4/28/2020,Massachusetts,,58302,3153
4/28/2020,Mississippi,,6342,239
4/28/2020,Rhode Island,,7926,239
4/28/2020,Vermont,,862,46
4/28/2020,Wyoming,,536,7
4/29/2020,Alabama,,6925,262
4/29/2020,Massachusetts,,60265,3405
4/29/2020,Mississippi,,6569,250
4/29/2020,Rhode Island,,8247,251
4/29/2020,Vermont,,862,46
4/29/2020,Wyoming,,544,7
4/30/2020,Alabama,,7068,272
4/30/2020,Massachusetts,,62205,3562
4/30/2020,Mississippi,,6815,261
4/30/2020,Rhode Island,,8621,266
4/30/2020,Vermont,,866,48
4/30/2020,Wyoming,,559,7
5/1/2020,Alabama,,7294,289
5/1/2020,Massachusetts,,64311,3716
5/1/2020,Mississippi,,7212,281
5/1/2020,Rhode Island,,8962,279
5/1/2020,Vermont,,879,49
5/1/2020,Wyoming,,566,7
5/2/2020,Alabama,,7611,288
5/2/2020,Massachusetts,,66263,3846
5/2/2020,Mississippi,,7441,291
5/2/2020,Rhode Island,,9289,296
5/2/2020,Vermont,,886,50
5/2/2020,Wyoming,,579,7
5/3/2020,Alabama,,7888,290
5/3/2020,Massachusetts,,68087,4004
5/3/2020,Mississippi,,7550,303
5/3/2020,Rhode Island,,9477,320
5/3/2020,Vermont,,897,52
5/3/2020,Wyoming,,586,7
5/4/2020,Alabama,,8112,298
5/4/2020,Massachusetts,,69087,4090
5/4/2020,Mississippi,,7877,310
5/4/2020,Rhode Island,,9652,341
5/4/2020,Vermont,,902,52
5/4/2020,Wyoming,,596,7
5/5/2020,Alabama,,8437,315
5/5/2020,Massachusetts,,70271,4212
5/5/2020,Mississippi,,8207,342
5/5/2020,Rhode Island,,9933,355
5/5/2020,Vermont,,907,52
5/5/2020,Wyoming,,604,7
5/6/2020,Alabama,,8691,343
5/6/2020,Massachusetts,,72025,4420
5/6/2020,Mississippi,,8424,374
5/6/2020,Rhode Island,,10205,370
5/6/2020,Vermont,,908,52
5/6/2020,Wyoming,,631,7
5/7/2020,Alabama,,9046,369
5/7/2020,Massachusetts,,73721,4552
5/7/2020,Mississippi,,8686,396
5/7/2020,Rhode Island,,10530,388
5/7/2020,Vermont,,916,53
5/7/2020,Wyoming,,635,7
5/8/2020,Alabama,,9385,383
5/8/2020,Massachusetts,,75333,4702
5/8/2020,Mississippi,,9090,409
5/8/2020,Rhode Island,,10779,399
5/8/2020,Vermont,,919,53
5/8/2020,Wyoming,,644,7
5/9/2020,Alabama,,9668,390
5/9/2020,Massachusetts,,76743,4840
5/9/2020,Mississippi,,9378,421
5/9/2020,Rhode Island,,10989,418
5/9/2020,Vermont,,921,53
5/9/2020,Wyoming,,653,7
5/10/2020,Alabama,,9889,393
5/10/2020,Massachusetts,,77793,4979
5/10/2020,Mississippi,,9501,430
5/10/2020,Rhode Island,,11274,422
5/10/2020,Vermont,,926,53
5/10/2020,Wyoming,,662,7
5/11/2020,Alabama,,10164,403
5/11/2020,Massachusetts,,78462,5108
5/11/2020,Mississippi,,9674,435
5/11/2020,Rhode Island,,11450,430
5/11/2020,Vermont,,926,53
5/11/2020,Wyoming,,669,7
5/12/2020,Alabama,,10464,435
5/12/2020,Massachusetts,,79332,5141
5/12/2020,Mississippi,,9908,457
5/12/2020,Rhode Island,,11614,444
5/12/2020,Vermont,,927,53
5/12/2020,Wyoming,,675,7
5/13/2020,Alabama,,10700,450
5/13/2020,Massachusetts,,80497,5315
5/13/2020,Mississippi,,10090,465
5/13/2020,Rhode Island,,11835,462
5/13/2020,Vermont,,929,53
5/13/2020,Wyoming,,688,7
5/14/2020,Alabama,,11101,473
5/14/2020,Massachusetts,,82182,5482
5/14/2020,Mississippi,,10483,480
5/14/2020,Rhode Island,,12016,468
5/14/2020,Vermont,,932,53
5/14/2020,Wyoming,,701,7
5/15/2020,Alabama,,11373,483
5/15/2020,Massachusetts,,83421,5592
5/15/2020,Mississippi,,10801,493
5/15/2020,Rhode Island,,12219,479
5/15/2020,Vermont,,933,53
5/15/2020,Wyoming,,716,7
5/16/2020,Alabama,,11674,485
5/16/2020,Massachusetts,,84933,5705
5/16/2020,Mississippi,,11123,510
5/16/2020,Rhode Island,,12434,489
5/16/2020,Vermont,,934,53
5/16/2020,Wyoming,,741,7
5/17/2020,Alabama,,11771,488
5/17/2020,Massachusetts,,86010,5797
5/17/2020,Mississippi,,11296,521
5/17/2020,Rhode Island,,12674,499
5/17/2020,Vermont,,940,54
5/17/2020,Wyoming,,754,8
5/18/2020,Alabama,,12086,489
5/18/2020,Massachusetts,,87052,5862
5/18/2020,Mississippi,,11432,528
5/18/2020,Rhode Island,,12795,506
5/18/2020,Vermont,,940,54
5/18/2020,Wyoming,,766,10
5/19/2020,Alabama,,12376,504
5/19/2020,Massachusetts,,87925,5938
5/19/2020,Mississippi,,11704,554
5/19/2020,Rhode Island,,12951,532
5/19/2020,Vermont,,944,54
5/19/2020,Wyoming,,776,10
5/20/2020,Alabama,,13052,522
5/20/2020,Massachusetts,,88970,6066
5/20/2020,Mississippi,,11967,570
5/20/2020,Rhode Island,,13356,538
5/20/2020,Vermont,,944,54
5/20/2020,Wyoming,,787,11
5/21/2020,Alabama,,13414,529
5/21/2020,Massachusetts,,90084,6148
5/21/2020,Mississippi,,12222,580
5/21/2020,Rhode Island,,13571,556
5/21/2020,Vermont,,950,54
5/21/2020,Wyoming,,801,12
5/22/2020,Alabama,,13670,541
5/22/2020,Massachusetts,,90889,6228
5/22/2020,Mississippi,,12624,596
5/22/2020,Rhode Island,,13736,579
5/22/2020,Vermont,,952,54
5/22/2020,Wyoming,,803,12
5/23/2020,Alabama,,14149,549
5/23/2020,Massachusetts,,91662,6304
5/23/2020,Mississippi,,13005,616
5/23/2020,Rhode Island,,13952,597
5/23/2020,Vermont,,954,54
5/23/2020,Wyoming,,813,12
5/24/2020,Alabama,,14478,551
5/24/2020,Massachusetts,,92675,6372
5/24/2020,Mississippi,,13252,625
5/24/2020,Rhode Island,,14065,608
5/24/2020,Vermont,,956,54
5/24/2020,Wyoming,,813,12
5/25/2020,Alabama,,14986,566
5/25/2020,Massachusetts,,93271,6416
5/25/2020,Mississippi,,13458,635
5/25/2020,Rhode Island,,14065,608
5/25/2020,Vermont,,962,54
5/25/2020,Wyoming,,843,12
5/26/2020,Alabama,,15650,580
5/26/2020,Massachusetts,,93693,6473
5/26/2020,Mississippi,,13731,652
5/26/2020,Rhode Island,,14210,634
5/26/2020,Vermont,,967,54
5/26/2020,Wyoming,,850,13
5/27/2020,Alabama,,16032,583
5/27/2020,Massachusetts,,94220,6547
5/27/2020,Mississippi,,14044,670
5/27/2020,Rhode Island,,14353,655
5/27/2020,Vermont,,971,54
5/27/2020,Wyoming,,860,14
5/28/2020,Alabama,,16530,591
5/28/2020,Massachusetts,,94895,6640
5/28/2020,Mississippi,,14372,693
5/28/2020,Rhode Island,,14494,677
5/28/2020,Vermont,,974,55
5/28/2020,Wyoming,,876,15
5/29/2020,Alabama,,17031,610
5/29/2020,Massachusetts,,95512,6718
5/29/2020,Mississippi,,14790,710
5/29/2020,Rhode Island,,14635,693
5/29/2020,Vermont,,975,55
5/29/2020,Wyoming,,891,15
5/30/2020,Alabama,,17359,618
5/30/2020,Massachusetts,,96301,6768
5/30/2020,Mississippi,,15229,723
5/30/2020,Rhode Island,,14819,711
5/30/2020,Vermont,,977,55
5/30/2020,Wyoming,,898,16
5/31/2020,Alabama,,17952,630
5/31/2020,Massachusetts,,96965,6846
5/31/2020,Mississippi,,15501,734
5/31/2020,Rhode Island,,14928,718
5/31/2020,Vermont,,981,55
5/31/2020,Wyoming,,903,16
6/1/2020,Alabama,,18534,646
6/1/2020,Massachusetts,,100805,7035
6/1/2020,Mississippi,,15752,739
6/1/2020,Rhode Island,,14991,720
6/1/2020,Vermont,,983,55
6/1/2020,Wyoming,,910,17
6/2/2020,Alabama,,18771,653
6/2/2020,Massachusetts,,101163,7085
6/2/2020,Mississippi,,16020,767
6/2/2020,Rhode Island,,15112,732
6/2/2020,Vermont,,988,55
6/2/2020,Wyoming,,912,17
6/3/2020,Alabama,,18851,653
6/3/2020,Massachusetts,,101592,7152
6/3/2020,Mississippi,,16322,782
6/3/2020,Rhode Island,,15219,742
6/3/2020,Vermont,,990,55
6/3/2020,Wyoming,,915,17
6/4/2020,Alabama,,19072,653
6/4/2020,Massachusetts,,102063,7201
6/4/2020,Mississippi,,16560,794
6/4/2020,Rhode Island,,15325,756
6/4/2020,Vermont,,1026,55
6/4/2020,Wyoming,,921,17
6/5/2020,Alabama,,19387,676
6/5/2020,Massachusetts,,102557,7235
6/5/2020,Mississippi,,16769,803
6/5/2020,Rhode Island,,15441,772
6/5/2020,Vermont,,1027,55
6/5/2020,Wyoming,,933,17
6/6/2020,Alabama,,20043,689
6/6/2020,Massachusetts,,103132,7289
6/6/2020,Mississippi,,17034,811
6/6/2020,Rhode Island,,15441,772
6/6/2020,Vermont,,1046,55
6/6/2020,Wyoming,,939,17
6/7/2020,Alabama,,20500,692
6/7/2020,Massachusetts,,103436,7316
6/7/2020,Mississippi,,17270,817
6/7/2020,Rhode Island,,15441,772
6/7/2020,Vermont,,1063,55
6/7/2020,Wyoming,,947,17
6/8/2020,Alabama,,20925,718
6/8/2020,Massachusetts,,103626,7353
6/8/2020,Mississippi,,17768,837
6/8/2020,Rhode Island,,15642,799
6/8/2020,Vermont,,1075,55
6/8/2020,Wyoming,,960,17
6/9/2020,Alabama,,21422,729
6/9/2020,Massachusetts,,103889,7408
6/9/2020,Mississippi,,18109,847
6/9/2020,Rhode Island,,15691,808
6/9/2020,Vermont,,1084,55
6/9/2020,Wyoming,,970,17
6/10/2020,Alabama,,21989,744
6/10/2020,Massachusetts,,104156,7454
6/10/2020,Mississippi,,18483,868
6/10/2020,Rhode Island,,15756,812
6/10/2020,Vermont,,1095,55
6/10/2020,Wyoming,,980,18
6/11/2020,Alabama,,22845,755
6/11/2020,Massachusetts,,104667,7492
6/11/2020,Mississippi,,18483,868
6/11/2020,Rhode Island,,15862,823
6/11/2020,Vermont,,1110,55
6/11/2020,Wyoming,,1009,18
6/12/2020,Alabama,,23710,769
6/12/2020,Massachusetts,,105059,7538
6/12/2020,Mississippi,,19091,881
6/12/2020,Rhode Island,,15947,833
6/12/2020,Vermont,,1119,55
6/12/2020,Wyoming,,1027,18
6/13/2020,Alabama,,24601,773
6/13/2020,Massachusetts,,105395,7576
6/13/2020,Mississippi,,19348,889
6/13/2020,Rhode Island,,15947,833
6/13/2020,Vermont,,1125,55
6/13/2020,Wyoming,,1050,18
6/14/2020,Alabama,,25615,773
6/14/2020,Massachusetts,,105603,7624
6/14/2020,Mississippi,,19516,891
6/14/2020,Rhode Island,,15947,833
6/14/2020,Vermont,,1127,55
6/14/2020,Wyoming,,1060,18
6/15/2020,Alabama,,26272,774
6/15/2020,Massachusetts,,105690,7646
6/15/2020,Mississippi,,19799,895
6/15/2020,Rhode Island,,16093,851
6/15/2020,Vermont,,1130,55
6/15/2020,Wyoming,,1079,18
6/16/2020,Alabama,,26912,785
6/16/2020,Massachusetts,,105885,7664
6/16/2020,Mississippi,,20152,915
6/16/2020,Rhode Island,,16164,865
6/16/2020,Vermont,,1130,55
6/16/2020,Wyoming,,1089,18
6/17/2020,Alabama,,27312,790
6/17/2020,Massachusetts,,106151,7733
6/17/2020,Mississippi,,20641,938
6/17/2020,Rhode Island,,16213,876
6/17/2020,Vermont,,1130,55
6/17/2020,Wyoming,,1114,18
6/18/2020,Alabama,,28206,810
6/18/2020,Massachusetts,,106422,7769
6/18/2020,Mississippi,,21022,943
6/18/2020,Rhode Island,,16269,885
